name,email,password,password_confirmation
旅好きのサラリーマン,user-1@example.com,password,password
旅大好き＠国内旅行専門,user-2@example.com,password,password
とあるヨーロッパマニア,user-3@example.com,password,password
旅するエスニック,user-4@example.com,password,password
サファリに住みたい＠都内在住,user-5@example.com,password,password
ロシアの荒くま,user-6@example.com,password,password
北のスープカレー,user-7@example.com,password,password
旅するお好み焼き,user-8@example.com,password,password
世界のラーメン屋を巡ろう,user-9@example.com,password,password
アジアの秘境好き,user-10@example.com,password,password
ロスが大好き,user-11@example.com,password,password
ニューヨークで入浴,user-12@example.com,password,password
在アンコールワットの日本人,user-13@example.com,password,password
ハノイからコンニチワ,user-14@example.com,password,password
スペインガール,user-15@example.com,password,password
旅するローマ,user-16@example.com,password,password
ドイツ好き,user-17@example.com,password,password
名無しの札幌好き,user-18@example.com,password,password
夫婦でドレスデン,user-19@example.com,password,password
現役大学生@フィレンツェに留学中,user-20@example.com,password,password
